player_id,player_name,player_position,team_shortname,top_movement,top_off_ball_runs,top_choice,top_choice_attempts,top_press,top_movement_build_up,top_movement_create,top_movement_finish,top_movement_direct,top_movement_quick_break,top_movement_transition,top_movement_set_play,top_movement_chaotic,top_off_ball_runs_build_up,top_off_ball_runs_create,top_off_ball_runs_finish,top_off_ball_runs_direct,top_off_ball_runs_quick_break,top_off_ball_runs_transition,top_off_ball_runs_set_play,top_off_ball_runs_chaotic,top_off_ball_runs_behind,top_off_ball_runs_coming_short,top_off_ball_runs_cross_receiver,top_off_ball_runs_dropping_off,top_off_ball_runs_overlap,top_off_ball_runs_pulling_half_space,top_off_ball_runs_pulling_wide,top_off_ball_runs_run_ahead_of_the_ball,top_off_ball_runs_support,top_off_ball_runs_underlap,top_press_pressing,top_press_pressure,top_press_counter_press,top_press_recovery_press,top_press_other,top_movement_winning,top_movement_drawing,top_movement_loosing,top_off_ball_runs_winning,top_off_ball_runs_drawing,top_off_ball_runs_loosing,top_choice_winning,top_choice_drawing,top_choice_loosing,top_choice_attempts_winning,top_choice_attempts_drawing,top_choice_attempts_loosing,top_press_winning,top_press_drawing,top_press_loosing,top_movement_left,top_movement_center,top_movement_right,top_movement_middle_third,top_movement_attacking_third,top_movement_penalty,top_off_ball_runs_left,top_off_ball_runs_center,top_off_ball_runs_right,top_off_ball_runs_middle_third,top_off_ball_runs_attacking_third,top_off_ball_runs_penalty,top_choice_left,top_choice_center,top_choice_right,top_choice_attempts_left,top_choice_attempts_center,top_choice_attempts_right,top_choice_middle_third,top_choice_attacking_third,top_choice_attempts_middle_third,top_choice_attempts_attacking_third,top_choice_penalty,top_choice_attempts_penalty,top_choice_build_up,top_choice_create,top_choice_finish,top_choice_direct,top_choice_quick_break,top_choice_transition,top_choice_set_play,top_choice_chaotic,top_choice_attempts_build_up,top_choice_attempts_create,top_choice_attempts_finish,top_choice_attempts_direct,top_choice_attempts_quick_break,top_choice_attempts_transition,top_choice_attempts_set_play,top_choice_attempts_chaotic,top_movement_jogging,top_movement_running,top_movement_hsr,top_movement_sprinting,top_off_ball_runs_running,top_off_ball_runs_hsr,top_off_ball_runs_sprinting
133853,J. Kucharski,RW,Sydney FC,1.95,1.01,0.43,7.0,2.0,0.05,0.3,0.7,0.13,0.23,0.16,0.1,0.29,0.0,0.13,0.38,0.08,0.05,0.16,0.0,0.22,0.17,0.0,0.54,0.0,0.0,0.0,0.0,0.26,0.03,0.0,0.0,0.25,0.0,0.75,1.0,0.0,0.22,1.73,0.0,0.19,0.81,0.0,0.0,0.43,0.0,0.0,7.0,0.0,0.5,1.5,0.26,1.4,0.29,0.44,1.52,0.51,0.09,0.85,0.07,0.16,0.85,0.19,0.33,0.67,0.0,3.0,3.0,1.0,0.33,0.5,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.99,0.32,0.28,0.09,0.53,0.18,0.28
795527,M. Grimaldi,RW,Western United,1.86,1.16,0.43,14.0,-1.5,0.02,0.42,0.26,0.03,0.35,0.62,0.0,0.16,0.01,0.22,0.16,0.02,0.11,0.61,0.0,0.03,0.0,0.0,0.53,0.0,0.0,0.04,0.01,0.47,0.1,0.0,0.0,-1.25,0.0,-0.5,0.25,1.38,0.48,0.0,0.7,0.46,0.0,0.5,0.0,0.0,12.0,2.0,0.0,-1.5,0.0,0.0,0.11,1.29,0.46,0.62,1.23,0.76,0.04,0.94,0.18,0.29,0.87,0.66,0.67,0.29,0.5,3.0,7.0,4.0,0.17,0.71,6.0,7.0,1.0,2.0,0.0,0.17,0.67,0.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,2.0,2.0,1.0,0.73,0.27,0.22,0.49,0.41,0.32,0.43
133854,A. Segecic,LW,Sydney FC,4.45,2.21,0.42,12.0,0.5,0.05,0.91,2.31,0.01,0.11,0.4,0.2,0.46,0.01,0.38,1.2,0.01,0.0,0.38,0.07,0.15,0.86,0.01,0.68,0.0,0.0,0.0,0.01,0.64,0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,4.35,0.0,0.01,2.2,0.0,1.0,0.36,0.0,1.0,11.0,0.0,0.0,0.5,1.02,2.52,0.91,1.13,3.31,1.72,0.45,1.41,0.34,0.49,1.71,0.8,0.25,1.0,0.5,8.0,2.0,2.0,0.2,0.67,5.0,6.0,0.0,0.0,0.0,0.5,0.67,0.0,0.5,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,2.0,1.92,1.06,0.67,0.38,0.94,1.11,0.14
51045,A. Cáceres,LM,Sydney FC,0.6,0.13,0.39,46.0,3.5,0.02,0.14,0.29,0.0,0.04,0.0,0.03,0.08,0.0,0.05,0.04,0.0,0.02,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.06,0.02,0.25,0.5,0.0,2.25,0.5,0.0,0.01,0.59,0.0,0.0,0.13,0.0,0.0,0.39,0.0,0.0,46.0,0.0,0.25,3.25,0.26,0.12,0.22,0.25,0.33,0.0,0.09,0.02,0.02,0.06,0.06,0.0,0.28,0.71,0.5,29.0,7.0,10.0,0.31,0.56,16.0,18.0,1.0,5.0,0.5,0.3,0.38,0.0,0.67,0.0,0.33,0.75,2.0,20.0,13.0,0.0,3.0,1.0,3.0,4.0,0.47,0.08,0.04,0.0,0.08,0.05,0.0
51048,J. King,CB,Sydney FC,0.08,0.0,0.37,41.0,2.0,0.01,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.5,0.25,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.5,0.36,0.0,2.0,39.0,0.0,0.0,2.0,0.04,0.02,0.02,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.71,0.2,19.0,7.0,15.0,0.42,1.0,26.0,2.0,1.0,1.0,0.25,0.33,0.5,0.0,0.0,0.0,1.0,0.75,12.0,21.0,2.0,1.0,0.0,0.0,1.0,4.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
560894,A. Popovic,RCB,Sydney FC,0.45,0.04,0.35,46.0,4.25,0.0,0.02,0.08,0.0,0.01,0.0,0.32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.5,0.0,1.0,2.75,0.0,0.04,0.41,0.0,0.04,0.01,0.0,1.0,0.33,0.0,1.0,45.0,0.0,0.0,4.25,0.0,0.31,0.14,0.06,0.38,0.32,0.0,0.0,0.04,0.0,0.04,0.04,0.4,0.47,0.27,5.0,15.0,26.0,0.22,0.58,27.0,12.0,0.0,0.0,0.4,0.41,0.5,0.5,0.0,0.0,0.5,0.0,5.0,17.0,8.0,4.0,2.0,0.0,2.0,8.0,0.4,0.01,0.0,0.0,0.04,0.0,0.0
26844,R. Danzaki,LW,Western United,1.96,1.04,0.35,17.0,1.5,0.04,0.29,0.6,0.03,0.31,0.36,0.0,0.33,0.02,0.15,0.34,0.01,0.07,0.36,0.0,0.1,0.12,0.01,0.25,0.0,0.01,0.06,0.0,0.45,0.13,0.0,0.0,0.25,0.0,1.25,0.0,1.8,0.16,0.0,0.96,0.08,0.0,0.33,0.5,0.0,15.0,2.0,0.0,1.5,0.0,0.0,0.73,1.14,0.08,0.38,1.53,0.43,0.46,0.56,0.02,0.1,0.91,0.24,0.3,0.4,0.5,10.0,5.0,2.0,0.5,0.33,4.0,9.0,1.0,1.0,0.0,0.14,1.0,1.0,0.0,0.5,0.0,1.0,0.0,7.0,2.0,1.0,4.0,2.0,0.0,1.0,0.91,0.56,0.19,0.22,0.6,0.15,0.29
18573,J. Lolley,LWB,Sydney FC,0.37,0.17,0.33,27.0,0.75,0.01,0.07,0.11,0.02,0.06,0.02,0.06,0.02,0.0,0.02,0.08,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.06,0.05,0.01,0.0,0.0,0.0,0.25,0.5,0.0,0.01,0.35,0.0,0.0,0.17,0.0,0.0,0.36,0.0,2.0,25.0,0.0,0.0,0.75,0.28,0.07,0.01,0.13,0.23,0.0,0.11,0.04,0.02,0.02,0.14,0.06,0.24,0.57,0.33,17.0,7.0,3.0,0.3,0.38,10.0,13.0,0.4,5.0,0.0,0.17,0.33,0.0,0.0,0.0,0.33,0.8,2.0,6.0,9.0,0.0,2.0,0.0,3.0,5.0,0.18,0.12,0.02,0.0,0.15,0.02,0.0
51690,R. Najjarine,RW,Western United,0.29,0.25,0.33,3.0,0.0,0.0,0.01,0.19,0.0,0.0,0.06,0.02,0.0,0.0,0.01,0.19,0.0,0.0,0.05,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.25,0.0,0.0,0.33,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.27,0.07,0.21,0.0,0.0,0.0,0.25,0.06,0.18,0.17,0.0,0.33,0.0,0.0,3.0,0.0,0.0,0.33,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04,0.2,0.02,0.01,0.04,0.2,0.0
51008,T. Imai,RB,Western United,0.22,0.1,0.32,25.0,2.75,0.0,0.08,0.06,0.0,0.0,0.03,0.01,0.02,0.0,0.04,0.01,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.06,0.0,0.0,1.75,0.0,0.75,0.25,0.19,0.03,0.0,0.09,0.01,0.0,0.3,0.5,0.0,23.0,2.0,0.0,1.75,1.0,0.0,0.0,0.06,0.16,0.12,0.09,0.0,0.0,0.0,0.09,0.05,0.05,0.0,0.0,0.25,0.44,5.0,4.0,16.0,0.3,0.33,10.0,6.0,0.0,0.0,0.4,0.18,0.0,1.0,1.0,0.0,0.0,0.5,5.0,11.0,3.0,1.0,1.0,0.0,0.0,2.0,0.1,0.03,0.01,0.03,0.04,0.02,0.03
