player_id,player_name,player_position,team_shortname,top_movement,top_off_ball_runs,top_choice,top_choice_attempts,top_press,top_movement_build_up,top_movement_create,top_movement_finish,top_movement_direct,top_movement_quick_break,top_movement_transition,top_movement_set_play,top_movement_chaotic,top_off_ball_runs_build_up,top_off_ball_runs_create,top_off_ball_runs_finish,top_off_ball_runs_direct,top_off_ball_runs_quick_break,top_off_ball_runs_transition,top_off_ball_runs_set_play,top_off_ball_runs_chaotic,top_off_ball_runs_behind,top_off_ball_runs_coming_short,top_off_ball_runs_cross_receiver,top_off_ball_runs_dropping_off,top_off_ball_runs_overlap,top_off_ball_runs_pulling_half_space,top_off_ball_runs_pulling_wide,top_off_ball_runs_run_ahead_of_the_ball,top_off_ball_runs_support,top_off_ball_runs_underlap,top_press_pressing,top_press_pressure,top_press_counter_press,top_press_recovery_press,top_press_other,top_movement_winning,top_movement_drawing,top_movement_loosing,top_off_ball_runs_winning,top_off_ball_runs_drawing,top_off_ball_runs_loosing,top_choice_winning,top_choice_drawing,top_choice_loosing,top_choice_attempts_winning,top_choice_attempts_drawing,top_choice_attempts_loosing,top_press_winning,top_press_drawing,top_press_loosing,top_movement_left,top_movement_center,top_movement_right,top_movement_middle_third,top_movement_attacking_third,top_movement_penalty,top_off_ball_runs_left,top_off_ball_runs_center,top_off_ball_runs_right,top_off_ball_runs_middle_third,top_off_ball_runs_attacking_third,top_off_ball_runs_penalty,top_choice_left,top_choice_center,top_choice_right,top_choice_attempts_left,top_choice_attempts_center,top_choice_attempts_right,top_choice_middle_third,top_choice_attacking_third,top_choice_attempts_middle_third,top_choice_attempts_attacking_third,top_choice_penalty,top_choice_attempts_penalty,top_choice_build_up,top_choice_create,top_choice_finish,top_choice_direct,top_choice_quick_break,top_choice_transition,top_choice_set_play,top_choice_chaotic,top_choice_attempts_build_up,top_choice_attempts_create,top_choice_attempts_finish,top_choice_attempts_direct,top_choice_attempts_quick_break,top_choice_attempts_transition,top_choice_attempts_set_play,top_choice_attempts_chaotic,top_movement_jogging,top_movement_running,top_movement_hsr,top_movement_sprinting,top_off_ball_runs_running,top_off_ball_runs_hsr,top_off_ball_runs_sprinting
50979,B. Fornaroli,CF,Melbourne V FC,0.49,0.36,1.0,1.0,0.25,0.0,0.05,0.22,0.0,0.19,0.0,0.0,0.04,0.0,0.0,0.17,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.49,0.0,0.0,0.36,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.13,0.37,0.0,0.03,0.46,0.36,0.05,0.31,0.0,0.02,0.34,0.31,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.19,0.0,0.0,0.36,0.0,0.0
51714,R. Piscopo,AM,Melbourne V FC,0.72,0.49,0.6,10.0,-0.5,0.0,0.09,0.58,0.0,0.0,0.0,0.01,0.04,0.0,0.06,0.4,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.37,0.07,0.0,0.0,0.0,0.0,-0.5,0.0,0.72,0.0,0.0,0.49,0.0,0.0,0.6,0.0,0.0,10.0,0.0,0.0,-0.5,0.0,0.0,0.04,0.3,0.38,0.11,0.61,0.38,0.02,0.13,0.34,0.04,0.45,0.32,0.75,1.0,0.4,4.0,1.0,5.0,0.5,0.67,4.0,6.0,1.0,1.0,0.0,0.5,0.67,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,0.24,0.04,0.34,0.0,0.13,0.32,0.0
51013,B. Hamill,RCB,Melbourne V FC,0.07,0.0,0.5,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.0,0.0,0.0,0.25,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,4.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51017,T. Payne,RB,Wellington P FC,0.5,0.24,0.43,28.0,0.0,0.0,0.08,0.24,0.04,0.0,0.06,0.04,0.03,0.0,0.03,0.1,0.03,0.0,0.04,0.03,0.01,0.05,0.0,0.0,0.0,0.01,0.0,0.01,0.14,0.05,0.0,0.0,-0.25,0.0,0.5,-0.25,0.0,0.08,0.42,0.0,0.05,0.2,0.0,0.4,0.43,0.0,5.0,23.0,0.0,0.25,-0.25,0.02,0.04,0.44,0.12,0.37,0.03,0.0,0.03,0.21,0.03,0.22,0.13,0.67,0.62,0.29,3.0,8.0,17.0,0.44,0.5,9.0,14.0,0.57,7.0,0.4,0.14,0.5,0.0,1.0,0.0,1.0,0.5,5.0,7.0,10.0,0.0,1.0,1.0,2.0,2.0,0.19,0.01,0.05,0.16,0.05,0.1,0.1
957734,C. Piper,RM,Wellington P FC,1.14,0.78,0.41,17.0,2.75,0.05,0.3,0.52,0.03,0.1,0.07,0.01,0.08,0.03,0.21,0.39,0.01,0.07,0.05,0.0,0.02,0.05,0.0,0.33,0.03,0.06,0.0,0.01,0.3,0.01,0.0,0.0,0.5,0.0,1.25,1.0,0.0,0.28,0.86,0.0,0.23,0.55,0.0,0.67,0.36,0.0,3.0,14.0,0.0,0.75,2.0,0.1,0.49,0.55,0.32,0.82,0.33,0.02,0.47,0.3,0.21,0.57,0.33,0.5,0.33,0.42,2.0,3.0,12.0,0.2,0.5,5.0,10.0,0.5,2.0,1.0,0.25,0.25,0.67,0.0,0.5,0.0,0.33,1.0,4.0,4.0,3.0,0.0,2.0,0.0,3.0,0.34,0.18,0.21,0.25,0.3,0.34,0.14
698141,L. Kelly-Heald,LM,Wellington P FC,0.2,0.05,0.4,10.0,1.25,0.01,0.04,0.1,0.01,0.0,0.01,0.01,0.04,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.4,0.0,0.0,10.0,0.0,0.0,1.25,0.07,0.03,0.1,0.1,0.09,0.0,0.01,0.01,0.02,0.05,0.0,0.0,0.67,0.0,0.0,6.0,1.0,3.0,0.25,1.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.16,0.02,0.0,0.0,0.05,0.0,0.0
795521,A. Badolato,RW,Melbourne V FC,0.75,0.25,0.38,8.0,0.0,0.0,0.09,0.47,0.0,0.15,0.0,0.02,0.02,0.0,0.06,0.05,0.0,0.11,0.0,0.02,0.01,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.11,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.38,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.12,0.32,0.31,0.08,0.67,0.43,0.05,0.14,0.06,0.05,0.2,0.05,1.0,0.0,0.5,1.0,3.0,4.0,0.5,0.5,2.0,4.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.61,0.08,0.03,0.0,0.23,0.02,0.0
29075,N. Vergos,CF,Melbourne V FC,4.56,2.22,0.33,6.0,0.25,0.02,0.45,2.05,0.03,0.28,1.22,0.27,0.23,0.0,0.21,0.73,0.0,0.0,1.19,0.0,0.09,0.54,0.01,1.36,0.0,0.0,0.0,0.01,0.31,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.4,2.16,0.0,0.95,1.28,0.0,0.4,0.0,0.0,5.0,1.0,0.0,0.25,0.0,0.0,0.74,3.49,0.33,0.35,4.2,2.98,0.36,1.77,0.1,0.14,2.09,1.62,0.33,1.0,0.0,3.0,1.0,2.0,0.0,0.67,3.0,3.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.67,0.77,0.64,0.05,1.29,0.93,0.0
23909,K. Barbarouses,CF,Wellington P FC,2.1,1.02,0.31,13.0,1.0,0.07,0.24,1.02,0.17,0.14,0.21,0.13,0.12,0.01,0.11,0.6,0.05,0.07,0.09,0.03,0.04,0.28,0.0,0.63,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35,1.75,0.0,0.18,0.84,0.0,0.25,0.33,0.0,4.0,9.0,0.0,0.75,0.25,0.37,1.33,0.41,0.34,1.75,0.91,0.12,0.72,0.18,0.08,0.94,0.63,0.43,0.0,0.2,7.0,1.0,5.0,0.25,0.0,4.0,4.0,0.0,2.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5,2.0,4.0,1.0,0.0,1.0,1.0,0.0,4.0,0.87,0.1,0.37,0.23,0.34,0.45,0.23
51046,P. Retre,AM,Wellington P FC,0.21,0.11,0.3,10.0,1.0,0.01,0.06,0.05,0.0,0.02,0.06,0.0,0.02,0.0,0.03,0.0,0.0,0.01,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.06,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.21,0.0,0.0,0.11,0.0,0.0,0.3,0.0,0.0,10.0,0.0,0.0,1.0,0.06,0.08,0.07,0.06,0.14,0.0,0.03,0.06,0.01,0.02,0.09,0.0,0.25,0.0,0.33,4.0,0.0,6.0,0.29,0.33,7.0,3.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.12,0.0,0.02,0.0,0.09,0.02,0.0
