player_id,player_name,player_position,team_shortname,top_movement,top_off_ball_runs,top_choice,top_choice_attempts,top_press,top_movement_build_up,top_movement_create,top_movement_finish,top_movement_direct,top_movement_quick_break,top_movement_transition,top_movement_set_play,top_movement_chaotic,top_off_ball_runs_build_up,top_off_ball_runs_create,top_off_ball_runs_finish,top_off_ball_runs_direct,top_off_ball_runs_quick_break,top_off_ball_runs_transition,top_off_ball_runs_set_play,top_off_ball_runs_chaotic,top_off_ball_runs_behind,top_off_ball_runs_coming_short,top_off_ball_runs_cross_receiver,top_off_ball_runs_dropping_off,top_off_ball_runs_overlap,top_off_ball_runs_pulling_half_space,top_off_ball_runs_pulling_wide,top_off_ball_runs_run_ahead_of_the_ball,top_off_ball_runs_support,top_off_ball_runs_underlap,top_press_pressing,top_press_pressure,top_press_counter_press,top_press_recovery_press,top_press_other,top_movement_winning,top_movement_drawing,top_movement_loosing,top_off_ball_runs_winning,top_off_ball_runs_drawing,top_off_ball_runs_loosing,top_choice_winning,top_choice_drawing,top_choice_loosing,top_choice_attempts_winning,top_choice_attempts_drawing,top_choice_attempts_loosing,top_press_winning,top_press_drawing,top_press_loosing,top_movement_left,top_movement_center,top_movement_right,top_movement_middle_third,top_movement_attacking_third,top_movement_penalty,top_off_ball_runs_left,top_off_ball_runs_center,top_off_ball_runs_right,top_off_ball_runs_middle_third,top_off_ball_runs_attacking_third,top_off_ball_runs_penalty,top_choice_left,top_choice_center,top_choice_right,top_choice_attempts_left,top_choice_attempts_center,top_choice_attempts_right,top_choice_middle_third,top_choice_attacking_third,top_choice_attempts_middle_third,top_choice_attempts_attacking_third,top_choice_penalty,top_choice_attempts_penalty,top_choice_build_up,top_choice_create,top_choice_finish,top_choice_direct,top_choice_quick_break,top_choice_transition,top_choice_set_play,top_choice_chaotic,top_choice_attempts_build_up,top_choice_attempts_create,top_choice_attempts_finish,top_choice_attempts_direct,top_choice_attempts_quick_break,top_choice_attempts_transition,top_choice_attempts_set_play,top_choice_attempts_chaotic,top_movement_jogging,top_movement_running,top_movement_hsr,top_movement_sprinting,top_off_ball_runs_running,top_off_ball_runs_hsr,top_off_ball_runs_sprinting
159938,S. Colakovski,LF,Wellington P FC,1.1,0.59,0.56,9.0,1.0,0.01,0.12,0.64,0.08,0.02,0.09,0.01,0.13,0.0,0.01,0.33,0.06,0.0,0.09,0.01,0.09,0.18,0.0,0.31,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,1.1,0.0,0.0,0.59,0.0,0.0,0.56,0.0,0.0,9.0,0.0,0.0,1.0,0.38,0.72,0.0,0.4,0.71,0.4,0.18,0.41,0.0,0.16,0.43,0.24,0.5,1.0,0.33,4.0,2.0,3.0,0.5,0.75,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.41,0.13,0.31,0.18,0.09,0.31,0.18
799091,O. Van Hattum,RM,Wellington P FC,0.36,0.19,0.5,2.0,0.75,0.0,0.18,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.36,0.0,0.0,0.19,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.75,0.0,0.11,0.25,0.12,0.24,0.06,0.0,0.05,0.13,0.09,0.09,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.0,0.05,0.1,0.0,0.05
133498,F. De Vries,LB,Auckland FC,0.63,0.22,0.44,32.0,3.75,0.0,0.07,0.4,0.0,0.01,0.04,0.07,0.03,0.0,0.03,0.11,0.0,0.01,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.1,0.04,0.0,0.75,0.0,1.5,1.5,0.47,0.16,0.0,0.19,0.03,0.0,0.47,0.4,0.0,17.0,15.0,0.0,2.25,1.5,0.0,0.56,0.06,0.01,0.12,0.5,0.12,0.22,0.0,0.0,0.06,0.16,0.0,0.43,0.67,0.0,28.0,3.0,1.0,0.36,0.47,14.0,17.0,0.67,3.0,0.0,0.43,0.44,1.0,0.0,0.0,0.33,0.5,0.0,7.0,18.0,1.0,0.0,0.0,3.0,2.0,0.41,0.16,0.0,0.01,0.17,0.04,0.0
34718,J. Oluwayemi,GK,Wellington P FC,0.0,0.0,0.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,1.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799092,M. Sheridan,RCB,Wellington P FC,0.46,0.16,0.39,28.0,5.75,0.0,0.05,0.39,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.08,0.01,1.5,2.25,0.0,2.0,0.0,0.0,0.04,0.42,0.0,0.02,0.14,0.0,0.8,0.3,0.0,5.0,23.0,0.0,1.25,4.5,0.0,0.23,0.23,0.09,0.35,0.25,0.0,0.01,0.15,0.08,0.08,0.05,0.0,0.4,0.39,0.0,5.0,23.0,0.44,0.29,16.0,7.0,0.0,0.0,0.0,0.42,0.17,0.6,0.0,0.0,0.0,0.5,2.0,12.0,6.0,5.0,0.0,0.0,0.0,2.0,0.33,0.03,0.07,0.0,0.07,0.07,0.0
43829,N. Moreno,RW,Auckland FC,1.31,0.72,0.38,16.0,-0.25,0.01,0.16,0.78,0.0,0.0,0.3,0.0,0.05,0.0,0.07,0.36,0.0,0.0,0.29,0.0,0.0,0.22,0.01,0.19,0.0,0.0,0.0,0.01,0.26,0.0,0.03,0.0,0.25,0.0,0.0,-0.5,1.31,0.0,0.0,0.72,0.0,0.0,0.38,0.0,0.0,16.0,0.0,0.0,-0.25,0.0,0.0,0.47,0.72,0.12,0.22,1.09,0.46,0.23,0.42,0.07,0.12,0.6,0.41,0.33,0.67,0.14,3.0,6.0,7.0,0.29,0.5,7.0,8.0,1.0,2.0,0.0,0.5,0.38,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,0.67,0.34,0.27,0.01,0.42,0.28,0.02
26969,H. Ishige,LF,Wellington P FC,1.75,1.0,0.35,31.0,3.5,0.02,0.36,0.76,0.03,0.11,0.29,0.09,0.11,0.0,0.23,0.4,0.01,0.11,0.19,0.03,0.03,0.27,0.03,0.42,0.04,0.01,0.01,0.05,0.11,0.07,0.0,0.0,-0.5,0.0,3.75,0.25,0.0,0.53,1.23,0.0,0.28,0.72,0.0,0.47,0.25,0.0,15.0,16.0,0.0,2.25,1.25,0.68,0.97,0.09,0.35,1.39,0.43,0.48,0.47,0.05,0.09,0.91,0.51,0.27,0.45,0.4,15.0,11.0,5.0,0.25,0.44,8.0,16.0,0.5,2.0,0.5,0.22,0.33,1.0,0.0,0.5,0.0,0.6,2.0,9.0,9.0,1.0,0.0,2.0,1.0,5.0,0.75,0.52,0.18,0.08,0.46,0.38,0.0
133501,L. Rogerson,RW,Auckland FC,1.6,0.76,0.35,23.0,1.75,0.0,0.07,1.09,0.01,0.19,0.0,0.1,0.13,0.0,0.01,0.45,0.0,0.19,0.0,0.01,0.1,0.0,0.0,0.4,0.0,0.0,0.01,0.01,0.09,0.25,0.0,0.0,-0.5,0.0,2.75,-0.5,1.0,0.59,0.0,0.56,0.21,0.0,0.33,0.36,0.0,9.0,14.0,0.0,1.0,0.75,0.0,0.11,1.15,0.34,0.14,1.46,0.75,0.06,0.58,0.12,0.06,0.7,0.45,0.25,1.0,0.25,4.0,3.0,16.0,0.36,0.36,11.0,11.0,0.0,0.0,0.0,0.14,0.46,0.0,0.0,1.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,1.0,2.0,0.0,0.89,0.39,0.29,0.0,0.4,0.36,0.0
965684,L. Toomey,LW,Auckland FC,1.03,0.53,0.33,9.0,2.75,0.0,0.26,0.42,0.0,0.0,0.23,0.02,0.1,0.0,0.15,0.15,0.0,0.0,0.22,0.02,0.0,0.02,0.0,0.29,0.01,0.0,0.0,0.0,0.15,0.05,0.01,0.0,0.25,0.0,1.5,1.0,1.03,0.0,0.0,0.53,0.0,0.0,0.33,0.0,0.0,9.0,0.0,0.0,2.75,0.0,0.0,0.36,0.44,0.23,0.15,0.88,0.34,0.17,0.3,0.06,0.01,0.52,0.31,0.67,0.0,0.2,3.0,1.0,5.0,0.0,0.33,2.0,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.67,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.52,0.18,0.3,0.0,0.21,0.31,0.0
4322,H. Sakai,RB,Auckland FC,0.52,0.24,0.33,33.0,2.75,0.0,0.06,0.33,0.0,0.1,0.0,0.0,0.02,0.0,0.03,0.13,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.12,0.02,0.02,0.0,0.25,0.0,0.25,2.25,0.35,0.17,0.0,0.19,0.05,0.0,0.37,0.29,0.0,19.0,14.0,0.0,1.5,1.25,0.0,0.03,0.1,0.4,0.11,0.4,0.0,0.0,0.08,0.16,0.03,0.21,0.04,0.0,0.6,0.22,0.0,10.0,23.0,0.4,0.32,10.0,19.0,0.5,6.0,0.0,0.42,0.38,0.0,0.0,0.0,0.0,0.0,1.0,12.0,16.0,0.0,0.0,0.0,2.0,2.0,0.23,0.16,0.07,0.01,0.15,0.08,0.01
