player_id,player_name,player_position,team_shortname,top_movement,top_off_ball_runs,top_choice,top_choice_attempts,top_press,top_movement_build_up,top_movement_create,top_movement_finish,top_movement_direct,top_movement_quick_break,top_movement_transition,top_movement_set_play,top_movement_chaotic,top_off_ball_runs_build_up,top_off_ball_runs_create,top_off_ball_runs_finish,top_off_ball_runs_direct,top_off_ball_runs_quick_break,top_off_ball_runs_transition,top_off_ball_runs_set_play,top_off_ball_runs_chaotic,top_off_ball_runs_behind,top_off_ball_runs_coming_short,top_off_ball_runs_cross_receiver,top_off_ball_runs_dropping_off,top_off_ball_runs_overlap,top_off_ball_runs_pulling_half_space,top_off_ball_runs_pulling_wide,top_off_ball_runs_run_ahead_of_the_ball,top_off_ball_runs_support,top_off_ball_runs_underlap,top_press_pressing,top_press_pressure,top_press_counter_press,top_press_recovery_press,top_press_other,top_movement_winning,top_movement_drawing,top_movement_loosing,top_off_ball_runs_winning,top_off_ball_runs_drawing,top_off_ball_runs_loosing,top_choice_winning,top_choice_drawing,top_choice_loosing,top_choice_attempts_winning,top_choice_attempts_drawing,top_choice_attempts_loosing,top_press_winning,top_press_drawing,top_press_loosing,top_movement_left,top_movement_center,top_movement_right,top_movement_middle_third,top_movement_attacking_third,top_movement_penalty,top_off_ball_runs_left,top_off_ball_runs_center,top_off_ball_runs_right,top_off_ball_runs_middle_third,top_off_ball_runs_attacking_third,top_off_ball_runs_penalty,top_choice_left,top_choice_center,top_choice_right,top_choice_attempts_left,top_choice_attempts_center,top_choice_attempts_right,top_choice_middle_third,top_choice_attacking_third,top_choice_attempts_middle_third,top_choice_attempts_attacking_third,top_choice_penalty,top_choice_attempts_penalty,top_choice_build_up,top_choice_create,top_choice_finish,top_choice_direct,top_choice_quick_break,top_choice_transition,top_choice_set_play,top_choice_chaotic,top_choice_attempts_build_up,top_choice_attempts_create,top_choice_attempts_finish,top_choice_attempts_direct,top_choice_attempts_quick_break,top_choice_attempts_transition,top_choice_attempts_set_play,top_choice_attempts_chaotic,top_movement_jogging,top_movement_running,top_movement_hsr,top_movement_sprinting,top_off_ball_runs_running,top_off_ball_runs_hsr,top_off_ball_runs_sprinting
771857,H. Politidis,LW,Melbourne City,0.49,0.11,0.64,11.0,0.5,0.01,0.03,0.26,0.01,0.0,0.0,0.02,0.17,0.0,0.02,0.09,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.01,0.01,0.05,0.0,0.0,0.0,0.0,0.5,0.0,0.49,0.0,0.0,0.11,0.0,0.0,0.64,0.0,0.0,11.0,0.0,0.0,0.5,0.0,0.0,0.2,0.16,0.13,0.05,0.44,0.04,0.09,0.0,0.03,0.02,0.09,0.0,0.71,0.67,0.0,7.0,3.0,1.0,1.0,0.5,3.0,8.0,0.0,2.0,0.0,1.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.36,0.13,0.0,0.0,0.11,0.0,0.0
12120,S. Khaoui,RM,Macarthur FC,0.29,0.18,0.5,8.0,3.0,0.01,0.16,0.07,0.03,0.01,0.0,0.0,0.01,0.01,0.1,0.06,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.0,0.02,0.0,0.04,0.03,0.0,0.0,0.75,0.0,1.5,0.75,0.0,0.22,0.06,0.0,0.14,0.03,0.0,0.57,0.0,0.0,7.0,1.0,0.0,1.75,1.25,0.0,0.06,0.22,0.14,0.14,0.03,0.0,0.07,0.11,0.05,0.12,0.0,0.0,0.33,0.6,0.0,3.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.13,0.09,0.06,0.0,0.11,0.0,0.06
51681,S. Ugarković,CF,Melbourne City,0.21,0.05,0.5,2.0,0.25,0.0,0.05,0.1,0.01,0.0,0.0,0.0,0.05,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.21,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.25,0.0,0.0,0.15,0.03,0.03,0.09,0.13,0.0,0.04,0.0,0.0,0.01,0.03,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15,0.04,0.0,0.0,0.05,0.0,0.0
972648,L. Wong,CF,Melbourne City,0.39,0.24,0.5,2.0,0.0,0.0,0.03,0.23,0.0,0.0,0.0,0.12,0.01,0.0,0.02,0.2,0.0,0.0,0.0,0.02,0.0,0.12,0.0,0.04,0.0,0.0,0.02,0.01,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.24,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19,0.14,0.06,0.02,0.37,0.13,0.09,0.12,0.04,0.0,0.24,0.15,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18,0.16,0.05,0.0,0.2,0.05,0.0
795516,Y. Nicolaou,RB,Macarthur FC,0.09,0.02,0.5,2.0,0.0,0.0,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.01,0.09,0.02,0.07,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.0,0.0
159945,M. Caputo,CF,Melbourne City,4.12,1.96,0.44,9.0,0.25,0.03,0.65,2.53,0.14,0.13,0.02,0.3,0.32,0.01,0.39,1.18,0.1,0.07,0.02,0.14,0.07,0.42,0.01,1.2,0.0,0.0,0.0,0.01,0.32,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2.22,1.9,0.0,0.96,1.0,0.0,0.4,0.5,0.0,5.0,4.0,0.0,0.25,0.0,0.0,0.73,3.2,0.19,0.51,3.59,2.39,0.26,1.53,0.17,0.23,1.73,1.24,0.0,0.4,0.67,1.0,5.0,3.0,0.57,0.0,7.0,1.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.67,1.05,0.32,0.0,1.6,0.36,0.0
771859,P. Beach,GK,Melbourne City,0.0,0.0,0.42,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.22,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.56,0.4,7.0,9.0,10.0,0.5,0.0,12.0,0.0,0.0,0.0,0.4,0.43,0.0,0.5,0.0,0.0,0.0,0.0,15.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6871,M. Jakoliš,CF,Macarthur FC,1.06,0.41,0.41,17.0,1.0,0.04,0.44,0.22,0.01,0.25,0.06,0.01,0.03,0.01,0.09,0.04,0.0,0.25,0.0,0.01,0.0,0.0,0.01,0.16,0.02,0.0,0.01,0.01,0.1,0.1,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.2,0.86,0.0,0.14,0.27,0.0,0.4,0.42,0.0,5.0,12.0,0.0,0.25,0.75,0.61,0.45,0.0,0.38,0.68,0.22,0.12,0.28,0.01,0.08,0.33,0.2,0.36,0.5,1.0,14.0,2.0,1.0,0.22,0.62,9.0,8.0,1.0,1.0,0.0,0.36,0.6,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,0.49,0.09,0.28,0.0,0.29,0.12,0.0
114464,G. Ferreyra,RCB,Melbourne City,0.08,0.0,0.39,38.0,0.75,0.01,0.03,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.04,0.04,0.0,0.0,0.0,0.0,0.38,0.42,0.0,26.0,12.0,0.0,0.75,0.0,0.0,0.0,0.03,0.06,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.4,0.37,9.0,10.0,19.0,0.48,0.0,23.0,3.0,0.0,0.0,0.33,0.4,0.33,0.0,0.0,0.0,0.0,1.0,12.0,20.0,3.0,1.0,0.0,0.0,0.0,2.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
104563,N. Atkinson,RB,Melbourne City,0.47,0.22,0.37,52.0,1.0,0.01,0.09,0.32,0.0,0.01,0.0,0.02,0.01,0.0,0.04,0.14,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.0,0.04,0.04,0.06,0.0,0.5,0.0,0.5,0.0,0.31,0.16,0.0,0.14,0.09,0.0,0.32,0.44,0.0,34.0,18.0,0.0,1.0,0.0,0.0,0.0,0.04,0.43,0.13,0.33,0.04,0.0,0.01,0.21,0.05,0.17,0.1,0.62,0.38,0.31,8.0,8.0,36.0,0.38,0.47,24.0,17.0,0.5,2.0,0.22,0.4,0.39,0.0,0.0,0.0,0.67,0.0,9.0,20.0,18.0,0.0,0.0,0.0,3.0,2.0,0.27,0.03,0.04,0.1,0.05,0.14,0.04
